         27591 function calls (26769 primitive calls) in 0.792 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 {method 'dt_year' of 'builtins.PyExpr' objects}
  543/538    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.008    0.008 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\actifs\ops\MpActifIndicesInitGblBuild.py:9(mpActifIndicesInitGblBuild)
       61    0.000    0.000    0.001    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\expr\expr.py:653(alias)
       58    0.000    0.000    0.005    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:988(format)
      116    0.000    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\ntpath.py:51(normcase)
       16    0.000    0.000    0.001    0.000 {built-in method builtins.any}
    18/11    0.000    0.000    0.003    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\deprecation.py:93(wrapper)
        3    0.000    0.000    0.032    0.011 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dataframe\frame.py:4546(sort)
        1    0.000    0.000    0.021    0.021 <string>:2(__init__)
        2    0.000    0.000    0.000    0.000 {method 'otherwise' of 'builtins.PyChainedThen' objects}
      116    0.000    0.000    0.000    0.000 {built-in method _winapi.LCMapStringEx}
        2    0.000    0.000    0.000    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\expr\expr.py:189(__floordiv__)
       13    0.000    0.000    0.036    0.003 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\dao\fs\DaoFs.py:83(writeData)
        1    0.000    0.000    0.009    0.009 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\gse\events\InitS2Gse.py:12(initS2Gse)
      336    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      193    0.000    0.000    0.000    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\os.py:777(check_str)
       58    0.000    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:674(formatMessage)
