         431300 function calls (425198 primitive calls) in 2.660 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1148    0.001    0.000    0.001    0.000 {method 'release' of '_thread.RLock' objects}
       40    0.001    0.000    0.294    0.007 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\actifs\events\PerfActif.py:6(perfActif)
      400    0.001    0.000    0.001    0.000 {method 'otherwise' of 'builtins.PyThen' objects}
      320    0.001    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\utils\ProjResults.py:12(append)
       80    0.001    0.000    0.003    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\various.py:77(is_bool_sequence)
       40    0.001    0.000    0.011    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dataframe\frame.py:7782(melt)
       40    0.001    0.000    0.004    0.000 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\actifs\expr\ActifsExpr.py:29(calcFuiteVcActifPerf)
        1    0.001    0.001    0.001    0.001 {built-in method _io.open}
      295    0.001    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\threading.py:1483(current_thread)
     1200    0.001    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\inspect.py:296(isclass)
       80    0.001    0.000    0.001    0.000 {method 'filter' of 'builtins.PyLazyFrame' objects}
      160    0.001    0.000    0.001    0.000 {method 'eq' of 'builtins.PyExpr' objects}
     1200    0.001    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\inspect.py:300(ismethod)
     1200    0.001    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\inspect.py:469(istraceback)
       80    0.001    0.000    0.001    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\expr\expr.py:176(__and__)
      400    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     1200    0.001    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\inspect.py:372(isfunction)
     1200    0.001    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\inspect.py:493(iscode)
      287    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     1200    0.001    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\inspect.py:479(isframe)
      527    0.001    0.000    0.001    0.000 {built-in method sys._getframe}
       40    0.001    0.000    0.003    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\expr\expr.py:210(__le__)
